product_id,date,price,quantity
1,1/1/13,2400,"""3"""
1,1/15/13,900,1
2,2/12/13,1000,1
3,4/1/13,1250,1
4,5/2/14,65,15
2,6/16/14,750,3
8,6/30/14,12.5,5
6,9/3/14,225,3
6,9/4/14,235,2
7,9/15/14,1200,25
5,9/16/14,175,25
5,9/20/14,195,3
7,9/21/14,1300,3
1,1/1/13,2400,3
1,1/15/13,900,1
2,2/12/13,1000,1
3,4/1/13,1250,1
4,5/2/14,65,"""15"""
2,6/16/14,750,3
8,6/30/14,12.5,5
6,9/3/14,225,3
6,9/4/14,235,2
7,9/15/14,1200,25
5,9/16/14,175,25
5,9/20/14,195,3
7,9/21/14,"""1300""",3
1,1/1/13,2400,3
1,1/15/13,900,1
2,2/12/13,1000,1
3,4/1/13,1250,1
4,5/2/14,65,15
2,6/16/14,750,3
8,6/30/14,12.5,5
6,9/3/14,225,3
6,9/4/14,235,2
7,9/15/14,1200,25
5,9/16/14,175,25
5,9/20/14,195,3
7,9/21/14,1300,3
1,1/1/13,2400,3
1,1/15/13,"""900""",1
2,2/12/13,1000,1
3,4/1/13,1250,1
4,5/2/14,65,15
2,6/16/14,750,3
"""8""",6/30/14,12.5,5
6,9/3/14,225,3
6,9/4/14,235,2
7,9/15/14,1200,25
5,9/16/14,175,25
5,9/20/14,195,3
"""7""",9/21/14,1300,3
